2026-04-18 17:54:53,交通出行,武汉地铁运营有限公司,whq***@163.com,省博湖北日报-佳园路,支出,5.00,花呗,交易成功,2026041822001429701416592320	,202604182045440920073019392	,,
2026-04-18 14:34:27,交通出行,武汉地铁运营有限公司,whq***@163.com,大智路-省博湖北日报,支出,4.00,花呗,交易成功,2026041822001429701415206703	,202604182045390481302495232	,,
2026-04-18 13:00:00,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-04-18 12:59:54,支出,1.60,花呗,交易成功,2026041822001429701416279528	,30_0000000000215365_20260418125954_58438	,,
2026-04-18 12:16:16,餐饮美食,农今生烫牛杂,/,农今生烫牛杂,支出,6.00,花呗,交易成功,2026041823001429701416590664	,972017092208872157320206018820000042604180807295	,,
2026-04-18 11:58:05,交通出行,武汉地铁运营有限公司,whq***@163.com,武汉火车站-黄浦路,支出,5.00,花呗,交易成功,2026041822001429701413681039	,202604182045351127389577216	,,
2026-04-18 09:07:42,日用百货,京广长沙四店,ssz***@33bld.com,0036京广长沙四店-消费,支出,4.00,花呗,交易成功,2026041822001429701414000316	,0036260418090742	,,
2026-04-17 17:11:37,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-17 17:11:35,支出,8.67,花呗&碰友日立减,交易成功,2026041723001429701412669092	,194541900082126041717113620362	,,
2026-04-17 15:48:18,交通出行,铁路12306,chi***@alipay.com,火车票,支出,87.00,花呗,交易关闭,2026041722001429701414153843	,M20260417266702105	,,
2026-04-17 13:06:36,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,醒物寻访组合包,支出,98.00,花呗,交易成功,2026041722001429701411621609	,20260417130630007013390682544784	,,
2026-04-17 13:03:29,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,协议通行证·协议定制,支出,68.00,花呗,交易成功,2026041722001429701413439540	,20260417130320007015200075175612	,,
2026-04-17 11:42:13,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026041722001429701412310090	,6512660000483300037895214288750081	,,
2026-04-16 22:45:26,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,7.00,花呗,交易成功,2026041622001429701409347260	,57106600004857000220260416MMds9r0i	,,
2026-04-16 22:27:54,交通出行,铁路12306,chi***@alipay.com,火车票,支出,87.00,花呗,交易关闭,2026041622001429701409077417	,M20260416259324076	,,
2026-04-16 17:31:30,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_桃花谷一楼特色粉面_碰一下时间：2026-04-16 17:31:29,支出,2.00,花呗,交易成功,2026041623001429701407176054	,194478761682126041617313018290	,,
2026-04-16 17:29:18,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_桃花谷一楼特色粉面_碰一下时间：2026-04-16 17:29:17,支出,8.88,花呗&碰一下立减,交易成功,2026041622001429701408474510	,194478761752126041617291816818	,,
2026-04-16 15:05:43,数码电器,华为云计算技术有限公司,hw2***@huawei.com,华为云服务购买-资金充值,支出,100.00,花呗,交易成功,2026041622001429701407608944	,20260416TR15622004254324824405	,,
2026-04-16 12:12:29,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,协议源流组合包,支出,198.00,花呗,交易成功,2026041622001429701405689494	,20260416121218007015738368262015	,,
2026-04-15 21:27:33,数码电器,华为云计算技术有限公司,hw2***@huawei.com,华为云服务购买-订单支付,支出,68.00,花呗,交易成功,2026041522001429701405558862	,20260415TR15622004277237543078	,,
2026-04-15 11:44:52,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026041522001429701404390512	,6512660000483300037895214230111698	,,
2026-04-14 21:48:56,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,19.96,花呗,交易成功,2026041423001129701402913953	,13210600726041401612120209158	,,
2026-04-14 11:44:09,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026041423001429701459300284	,5312660000483300037895088721439921	,,
2026-04-13 22:52:00,运动户外,北京卡路里科技有限公司,kee***@gotokeep.com,连续包月,支出,9.00,花呗,交易成功,2026041323001429701456878123	,2043703714128080896	,,
2026-04-13 19:31:40,交通出行,铁路12306,chi***@alipay.com,火车票,支出,549.00,花呗,交易成功,2026041322001429701458192320	,M20260413238532356	,,
2026-04-13 16:55:49,交通出行,铁路12306,chi***@alipay.com,火车票,支出,549.00,花呗,交易成功,2026041322001429701458125555	,M20260413237885412	,,
2026-04-13 16:22:33,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_桃花谷一楼大拇指水吧_碰一下时间：2026-04-13 16:22:32,支出,4.90,花呗,交易成功,2026041323001429701456775609	,194504221072126041316223269243	,,
2026-04-13 14:33:36,日用百货,佳***0,152******58,全新包邮足米HDMI线 4K高清线 hdmi线显  示器机顶,支出,9.90,花呗,交易成功,2026041323001129701456171284	,T200P2701838103008016792	,,
2026-04-13 01:51:38,退款,淘宝闪购,e50***@alibaba-inc.com,退款-小枣家隆江猪脚饭 大份PLUS｜隆江猪脚饭【肉量加倍】+卤蛋+配菜 兑换券 1张,不计收支,15.60,花呗,退款成功,2026032923001129701451205178_13010601326041325542218209158	,13150600726032963395192209158	,,
2026-04-12 23:13:57,日用百货,x***7,177******96,【米家插座丨清仓特惠款】,支出,28.00,花呗,交易成功,2026041223001129701451964808	,T200P2701839721111107993	,,
2026-04-12 15:39:58,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026041222001429701450718648	,321266000048250000705506890692260412	,,
2026-04-12 15:14:07,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026041223001429701453530241	,2212660000483300037895088780603083	,,
2026-04-12 12:03:15,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费40.00元,支出,40.00,花呗,交易成功,2026041222001429701452537856	,CP1513031775966585144057	,,
2026-04-12 06:36:57,文化休闲,iCloud 由云上贵州运营,aip***@gzdata.com.cn,iCloud；04.12购买,支出,6.00,花呗,交易成功,2026041223001429701450648033	,MV6MF06N5Ja0	,,
2026-04-11 21:25:08,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026041123001429701450677735	,20260411212506007015906463076082	,,
2026-04-11 21:24:52,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026041122001429701451193730	,20260411212447007013887010141929	,,
2026-04-11 20:57:03,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026041122001429701447720940	,20260411205659007014219961209873	,,
2026-04-11 20:56:49,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026041122001429701450629931	,20260411205647007012207032437715	,,
2026-04-11 20:56:22,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026041123001429701449147426	,20260411205604007014164235829824	,,
2026-04-11 14:12:15,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,20.10,花呗,交易成功,2026041123001129701448340251	,13140600726041197910902209158	,,
2026-04-10 13:04:09,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,20.96,花呗,交易成功,2026041023001129701439784615	,13130600726041045662891209158	,,
2026-04-09 21:37:52,日用百货,深***拥,188******45,中纺教学中国纺织出版社资源代下载,支出,4.88,花呗,交易成功,2026040923001129701440797315	,T200P2701827698002107993	,,
2026-04-09 15:56:09,教育培训,安徽飞协信息技术有限公司,729***@qq.com,2026年第七届全国高等院校数学能力挑战赛费用,支出,50.00,花呗,交易成功,2026040922001429701440175733	,MAC20260409155548254867317584452	,,
2026-04-08 20:51:34,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,22.96,花呗,交易成功,2026040823001129701436778842	,13200600726040855283618209158	,,
2026-04-08 18:34:01,充值缴费,中国电信,zhi***@chinatelecom-ec.com.cn,为173****4983充值31.0元，谨防诈骗,支出,30.93,花呗&支付宝随机立减,交易成功,2026040823001429701435856532	,ZY2604081833550036507353	,,
2026-04-07 18:44:27,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,22.96,花呗,交易成功,2026040723001129701429318329	,13180600726040700826365209158	,,
2026-04-07 17:11:01,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟（PC版）_bili_辟路之人寻访组合包,支出,58.00,花呗,交易成功,2026040722001429701431288914	,2026040717105643017455	,,
2026-04-07 17:10:40,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟（PC版）_bili_辟路之人寻访包,支出,6.00,花呗,交易成功,2026040722001429701429511371	,2026040717101132746609	,,
2026-04-07 12:11:11,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026040722001429701427442770	,781266000048250000705378957280260407	,,
2026-04-07 11:57:49,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026040722001429701428361323	,3012660000483300037895088655164893	,,
2026-04-07 10:01:22,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费35.00元,支出,34.99,花呗&支付宝随机立减,交易成功,2026040722001429701428762233	,CP1472501775527275052233	,,
2026-04-07 09:52:59,教育培训,宅人科技手机电脑专业维修,185******92,收钱码收款,支出,600.00,花呗,交易成功,2026040722001429701426503552	,17755267786222496729700	,,
2026-04-07 00:50:14,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_月卡,支出,30.00,花呗,交易成功,2026040723001429701425434659	,7754942093843922	,,
2026-04-07 00:49:50,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_2022音律联觉纪念礼包,支出,6.00,花呗,交易成功,2026040723001429701424153409	,7754941849953924	,,
2026-04-07 00:49:30,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_变格形象组合包,支出,24.00,花呗,交易成功,2026040722001429701424059470	,7754941652823216	,,
2026-04-07 00:49:14,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_维维美的照片集,支出,6.00,花呗,交易成功,2026040723001429701424012513	,7754941487923312	,,
2026-04-07 00:48:57,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_米米子的照片集,支出,6.00,花呗,交易成功,2026040722001429701426352401	,7754941305093737	,,
2026-04-06 19:08:10,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,16.80,花呗,交易成功,2026040623001129701424961864	,13190600726040661597585209158	,,
2026-04-06 12:06:51,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,胖哥现炒盖浇饭(林科大梅园三楼店)外卖订单,支出,8.30,花呗,交易成功,2026040623001129701423967487	,13120600726040629922148209158	,,
2026-04-06 11:41:54,信用借还,花呗,/,花呗主动还款-2026年04月账单,不计收支,4153.87,农业银行储蓄卡(4170),还款成功,2026040629020999700171321572	,	,,
2026-04-06 11:39:28,信用借还,花呗,/,花呗主动还款,不计收支,4153.87,,还款失败,2026040629020999700172709134	,	,,
2026-04-06 07:28:09,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,40.50,花呗,退款成功,2026040622001429701419565011_M2026040656770165	,M20260406206981640	,,
2026-04-06 07:05:20,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,40.50,花呗,退款成功,2026040522001429701416486692_M2026040656408150	,M2026040543276379	,,
2026-04-06 00:12:03,交通出行,铁路12306,chi***@alipay.com,火车票,支出,40.50,花呗,交易关闭,2026040622001429701419565011	,M20260406206981640	,,
2026-04-05 23:55:26,交通出行,铁路12306,chi***@alipay.com,火车票,支出,92.00,花呗,交易成功,2026040522001429701422486598	,M20260405206943857	,,
2026-04-05 07:10:58,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,40.50,花呗,退款成功,2026040522001429701419040611_M2026040543436045	,M20260405202250095	,,
2026-04-05 06:59:23,交通出行,铁路12306,chi***@alipay.com,火车票,支出,40.50,花呗,交易关闭,2026040522001429701416486692	,M2026040543276379	,,
2026-04-05 06:54:46,交通出行,铁路12306,chi***@alipay.com,火车票,支出,40.50,花呗,交易关闭,2026040522001429701419040611	,M20260405202250095	,,
2026-04-03 10:20:14,教育培训,赛氪,sai***@aliyun.com,支付报名编号SOIM2601416的费用-第五届全国大学生奥林匹克数学竞赛（春季赛）,支出,48.90,农业银行储蓄卡(4170)&农业银行立减金,交易成功,2026040322001429701409619744	,5880631O20260403069408699	,,
2026-04-02 17:33:35,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026040222001429701410563481	,381266000048250000705261113879260402	,,
2026-04-02 17:12:57,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-02 17:12:56,支出,8.00,花呗&碰一下立减,交易成功,2026040222001429701409710130	,194541901052126040217125711622	,,
2026-04-02 11:01:51,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,21.96,花呗,交易成功,2026040222001129701407150927	,13110600726040266046250209158	,,
2026-04-01 23:38:16,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,8.47,花呗,交易成功,2026040122001429701405440006	,0001N202604010000000015094456428	,,
2026-04-01 23:27:28,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,0.10,花呗,交易成功,2026040122001429701407093344	,0001N202604010000000015032932542	,,
2026-04-01 18:54:59,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,14.49,花呗,交易成功,2026040123001429701406028748	,0001N202604010000000015051482350	,,
2026-04-01 18:37:13,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,11.39,花呗,交易成功,2026040122001429701407174315	,0001N202604010000000015021470728	,,
2026-04-01 11:48:22,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-01 11:48:21,支出,8.00,花呗&碰一下立减,交易成功,2026040122001429701401179534	,194541901732126040111482263076	,,
2026-04-01 07:52:03,日用百货,   时光,155******79,收钱码收款,支出,4.00,花呗,交易成功,2026040122001429701400010879	,17750011225222496729700	,,
2026-03-31 23:10:22,日用百货,深***拥,188******45,中纺教学中国纺织出版社资源代下载,支出,4.88,花呗,交易成功,2026033123001129701401008943	,T200P2701807538001025974	,,
2026-03-31 23:09:43,退款,深***拥,188******45,退款-人邮教育人民邮电出版社课件资源下载,不计收支,1.98,花呗,退款成功,2026033123001129701401348738_2701800481183335587	,T200P2701800481183335587	,,
2026-03-31 22:19:29,日用百货,深***拥,188******45,人邮教育人民邮电出版社课件资源下载,支出,1.98,花呗,交易关闭,2026033123001129701401348738	,T200P2701800481183335587	,,
2026-03-31 19:02:40,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026033122001429701400848043	,2812660000483300037895210036553866	,,
2026-03-31 12:37:09,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,狼珀寻访组合包,支出,98.00,花呗,交易成功,2026033123001429701456221710	,20260331123657007013817989318268	,,
2026-03-31 11:56:28,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,21.96,花呗,交易成功,2026033123001129701457312874	,13110600726033170797585209158	,,
2026-03-30 15:49:14,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_桃花谷一楼香酥鸭_碰一下时间：2026-03-30 15:49:13,支出,14.50,花呗,交易成功,2026033023001429701456425460	,194503301722126033015491463159	,,
2026-03-30 07:51:39,日用百货,   时光,155******79,收钱码收款,支出,4.00,花呗,交易成功,2026033022001429701451700319	,17748282989222496729700	,,
2026-03-29 17:09:30,餐饮美食,零食很忙长沙MCC麻石公园店,/,零食很忙长沙MCC麻石公园店,支出,32.20,花呗,交易成功,2026032923001429701449925265	,872017092208872157190154410753000072603290275878	,,
2026-03-29 16:59:44,日用百货,长沙市望城区杭商华联超市,/,商品描述,支出,250.47,花呗,交易成功,2026032922001429701449748208	,48126600004836000083620260329911811127	,,
2026-03-29 15:42:14,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,小枣家隆江猪脚饭 大份PLUS｜隆江猪脚饭【肉量加倍】+卤蛋+配菜 兑换券 1张,支出,15.60,花呗,交易关闭,2026032923001129701451205178	,13150600726032963395192209158	,,
2026-03-28 22:47:25,交通出行,铁路12306,chi***@alipay.com,火车票,支出,87.00,花呗,交易成功,2026032822001429701445505262	,M20260328264812112	,,
2026-03-28 14:19:03,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,19.96,花呗,交易成功,2026032823001129701444849705	,13140600726032814200354209158	,,
2026-03-27 20:14:32,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡炸鸡(梅园三食堂店)外卖订单,支出,18.96,花呗,交易成功,2026032723001129701441387692	,13200600726032706644388209158	,,
2026-03-27 13:55:23,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,22.30,花呗,交易成功,2026032723001129701443468636	,13130600726032770736748209158	,,
2026-03-27 13:45:17,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,2.00,花呗&红包,交易成功,2026032722001429701443561892	,78106600004857000220260327MMb5gir8	,,
2026-03-27 03:05:53,服饰装扮,惠州市惦记贸易有限公司,132***@139.com,夏季新款韩版女装修身显瘦款A字裙子气质仙春夏装雪纺连衣裙,支出,297.98,花呗,交易成功,2026032722001429701440571492	,D20260327030515949530M2660	,,
2026-03-26 18:31:17,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,18.96,花呗,交易成功,2026032623001129701437123771	,13180600726032607063687209158	,,
2026-03-26 17:08:44,商业服务,16personalities.com,ext***@stripe.com,16personalities.com,支出,62.50,花呗,交易成功,2026032622001329701440130032	,src_1TF9tn2Xu539Lc81CfXaES5d	,,
2026-03-26 12:18:42,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_桃花谷一楼香酥鸭_碰一下时间：2026-03-26 12:18:41,支出,12.50,花呗&红包,交易成功,2026032622001429701434180135	,194503308062126032612184206730	,,
2026-03-25 21:06:59,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,17.98,花呗,交易成功,2026032523001129701432289426	,13210600726032548963299209158	,,
2026-03-25 12:20:08,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡炸鸡(梅园三食堂店)外卖订单,支出,26.95,花呗,交易成功,2026032523001129701432261464	,13120600726032521868268209158	,,
2026-03-25 10:08:44,教育培训,广州极目未来文化科技有限公司,gzj***@zuoyebang.com,连续包月,支出,19.90,花呗,交易成功,2026032522001429701430323061	,AL202603251008439852286002259153	,,
2026-03-25 07:39:30,日用百货,   时光,155******79,收钱码收款,支出,4.00,花呗,交易成功,2026032522001429701426137440	,17743955696222496729700	,,
2026-03-24 22:25:02,日用百货,诺诺校园生活超市,/,聚好付,支出,7.00,花呗,交易成功,2026032423001429701427690255	,72126600004836000083620260324720879223	,,
2026-03-24 19:52:14,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,18.80,花呗,交易成功,2026032423001129701428288746	,13190600726032439664236209158	,,
2026-03-24 12:50:18,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,正新鸡排·炸鸡烧烤(林科大商业楼店)外卖订单,支出,11.00,花呗,交易成功,2026032423001129701428340794	,13120600726032498824719209158	,,
2026-03-23 20:23:40,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,22.30,花呗,交易成功,2026032323001129701425266863	,13200600726032381361171209158	,,
2026-03-23 14:38:21,文化休闲,阿凡达,xia***@163.com,元宝充值,支出,2.70,花呗,交易成功,2026032322001429701425053439	,dSDBH202603231774247891519549	,,
2026-03-23 14:35:42,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费12.00元,支出,12.00,花呗,交易成功,2026032322001429701425294970	,CP1495431774247734117266	,,
2026-03-23 14:30:59,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费8.00元,支出,8.00,花呗,交易成功,2026032322001429701425027336	,CP1495771774247447117523	,,
2026-03-23 07:50:50,教育培训,金陵小吃,173******35,收钱码收款,支出,10.00,花呗,交易成功,2026032322001429701420956164	,47742234497222496729700	,,
2026-03-22 20:32:12,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,4.00,花呗,交易成功,2026032222001429701420606868	,18106600004857000220260322MMhkn8qt	,,
2026-03-22 15:43:58,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,17.80,花呗,交易成功,2026032223001129701420810526	,13150600726032240582144209158	,,
2026-03-21 19:06:18,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,22.30,花呗,交易成功,2026032123001129701417572962	,13190600726032136517191209158	,,
2026-03-21 14:07:10,文化休闲,Steam,sup***@nuvei.com,Steam Purchase,支出,123.30,花呗,交易成功,2026032122001429701413312575	,2026032119074101000290027451270	,,
2026-03-21 12:30:41,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡炸鸡(梅园三食堂店)外卖订单,支出,15.97,花呗,交易成功,2026032123001129701411849968	,13120600726032116247574209158	,,
2026-03-20 17:14:36,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026032022001429701413880444	,941266000048250000705942633749260320	,,
2026-03-20 17:13:30,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂百味佳美食餐厅_碰一下时间：2026-03-20 17:13:29,支出,9.00,花呗,交易成功,2026032023001429701413863332	,194499005052126032017133094979	,,
2026-03-20 12:42:30,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,19.00,花呗,交易成功,2026032023001129701408398311	,13120600726032037122606209158	,,
2026-03-20 07:54:47,日用百货,   时光,155******79,收钱码收款,支出,2.00,花呗,交易成功,2026032022001429701407490956	,17739644876222496729700	,,
2026-03-19 15:04:09,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,22.30,花呗,交易成功,2026031923001129701407910855	,13150600726031955046488209158	,,
2026-03-19 13:57:56,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,月卡,支出,30.00,花呗,交易成功,2026031923001429701404280673	,20260319135733007015853932944227	,,
2026-03-18 18:58:52,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,17.88,花呗,交易成功,2026031823001129701404142055	,13180600726031830095736209158	,,
2026-03-18 11:45:57,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院_食堂,支出,12.00,花呗,交易成功,2026031823001429701401317209	,5160031811455617738	,,
2026-03-18 07:54:22,教育培训,金陵小吃,173******35,收钱码收款,支出,2.00,花呗,交易成功,2026031822001429701400854696	,47737916631222496729700	,,
2026-03-17 18:24:46,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,正新鸡排·炸鸡烧烤(外贸店)外卖订单,支出,30.89,花呗,交易成功,2026031723001129701459261750	,13180600726031726232789209158	,,
2026-03-17 12:05:41,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026031723001429701455600124	,771266000048250000705865263600260317	,,
2026-03-17 11:44:26,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂兴港烧腊,支出,17.00,花呗&碰一下立减,交易成功,2026031722001429701458544080	,194497631662126031711442606999	,,
2026-03-17 09:04:49,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费38.00元,支出,37.99,花呗&支付宝随机立减,交易成功,2026031722001429701456559790	,CP0963691773709481119853	,,
2026-03-16 17:59:21,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,正新鸡排·炸鸡烧烤(林科大商业楼店)外卖订单,支出,26.28,花呗,交易成功,2026031623001129701455325441	,13170600726031676641230209158	,,
2026-03-16 12:22:47,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,正新鸡排·炸鸡烧烤(林科大商业楼店)外卖订单,支出,17.00,花呗,交易成功,2026031623001129701452578850	,13120600726031647055051209158	,,
2026-03-16 09:52:12,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,7.00,花呗,交易成功,2026031622001429701453024448	,51106600004857000220260316MM9jrkd2	,,
2026-03-15 21:48:29,交通出行,长沙地铁乘车码,xie***@hncsmtr.com,地铁-五一广场-2026-03-15 21:16:07-金盆丘(铜官窑巴士站)-2026-03-15 21:48:27,支出,4.50,花呗,交易成功,2026031522001429701450082899	,OT20260315029112094520260315214828984	,,
2026-03-15 20:51:29,餐饮美食,壹盏灯蚂蚁工房店,/,【聚合扫码支付】-175088753894,支出,210.00,花呗,交易成功,2026031523001429701447987415	,21126600004826000020260315Nf0000000006021770048330	,,
2026-03-15 19:59:23,交通出行,长沙地铁乘车码,xie***@hncsmtr.com,地铁-鸭子铺(马栏山文创园)-2026-03-15 19:27:55-五一广场-2026-03-15 19:59:22,支出,2.70,花呗,交易成功,2026031522001429701450786255	,OT20260315029106618920260315195922616	,,
2026-03-15 11:23:38,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,19.00,花呗,交易成功,2026031523001129701450209913	,13110600726031568246197209158	,,
2026-03-15 11:21:28,其他,淘宝闪购,pin***@service.alibaba.com,外卖红包,支出,0.10,花呗,交易成功,2026031523001129701450542088	,13110600726031564718851209158	,,
2026-03-14 20:11:39,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡炸鸡(梅园三食堂店)外卖订单,支出,17.99,花呗,交易成功,2026031423001129701444107371	,13200600726031409003595209158	,,
2026-03-14 12:45:43,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,徐大川剁椒猪脚饭(涉外学院店)外卖订单,支出,19.30,花呗,交易成功,2026031423001129701446435227	,13120600726031427872733209158	,,
2026-03-13 16:17:57,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,胖哥现炒盖浇饭(林科大梅园三楼店)外卖订单,支出,8.50,花呗,交易成功,2026031323001129701441742123	,13160600726031370131644209158	,,
